pol: 0, ang: 120, dist: 1 
min dist: 1 max angle: 120 | jaccard: 0.573824715660449 | jaccardSrcTrg: 0.8903094643918987 | valor medio por corr: 0.0020591648481872588 | divisao pela distancia: 6.715513084111956e-05 
pol: 0, ang: 120, dist: 2 
pol: 0, ang: 120, dist: 3 
min dist: 3 max angle: 120 | jaccard: 0.6649426740099436 | jaccardSrcTrg: 0.8903094643918987 | valor medio por corr: 0.0035883212749627234 | divisao pela distancia: 0.008981183185297763 
pol: 0, ang: 120, dist: 4 
pol: 0, ang: 120, dist: 5 
pol: 0, ang: 120, dist: 6 
pol: 0, ang: 120, dist: 7 
pol: 0, ang: 120, dist: 8 
pol: 0, ang: 120, dist: 9 
pol: 0, ang: 120, dist: 10 
pol: 0, ang: 120, dist: 11 
pol: 0, ang: 120, dist: 12 
pol: 0, ang: 120, dist: 13 
pol: 0, ang: 120, dist: 14 
pol: 0, ang: 120, dist: 15 
pol: 0, ang: 120, dist: 16 
pol: 0, ang: 120, dist: 17 
pol: 0, ang: 120, dist: 18 
pol: 0, ang: 120, dist: 19 
pol: 0, ang: 130, dist: 1 
pol: 0, ang: 130, dist: 2 
pol: 0, ang: 130, dist: 3 
pol: 0, ang: 130, dist: 4 
pol: 0, ang: 130, dist: 5 
min dist: 5 max angle: 130 | jaccard: 0.9338814408177353 | jaccardSrcTrg: 0.8903094643918987 | valor medio por corr: 0.01665592737426722 | divisao pela distancia: 0.012287490172101815 
pol: 0, ang: 130, dist: 6 
pol: 0, ang: 130, dist: 7 
pol: 0, ang: 130, dist: 8 
pol: 0, ang: 130, dist: 9 
pol: 0, ang: 130, dist: 10 
pol: 0, ang: 130, dist: 11 
pol: 0, ang: 130, dist: 12 
pol: 0, ang: 130, dist: 13 
pol: 0, ang: 130, dist: 14 
pol: 0, ang: 130, dist: 15 
pol: 0, ang: 130, dist: 16 
pol: 0, ang: 130, dist: 17 
pol: 0, ang: 130, dist: 18 
pol: 0, ang: 130, dist: 19 
pol: 0, ang: 140, dist: 1 
pol: 0, ang: 140, dist: 2 
pol: 0, ang: 140, dist: 3 
pol: 0, ang: 140, dist: 4 
pol: 0, ang: 140, dist: 5 
pol: 0, ang: 140, dist: 6 
pol: 0, ang: 140, dist: 7 
pol: 0, ang: 140, dist: 8 
pol: 0, ang: 140, dist: 9 
pol: 0, ang: 140, dist: 10 
pol: 0, ang: 140, dist: 11 
pol: 0, ang: 140, dist: 12 
pol: 0, ang: 140, dist: 13 
pol: 0, ang: 140, dist: 14 
pol: 0, ang: 140, dist: 15 
pol: 0, ang: 140, dist: 16 
pol: 0, ang: 140, dist: 17 
pol: 0, ang: 140, dist: 18 
pol: 0, ang: 140, dist: 19 
pol: 0, ang: 150, dist: 1 
